Source Plate Name	Source Well	Destination Plate Name	Destination Well	Transfer Volume	Sample ID
Source[1]	Mg-glutamate	Destination[1]	A1	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	B1	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	C1	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	D1	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	E1	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	F1	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	G1	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	H1	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	I1	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	J1	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	K1	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	L1	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	M1	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	N1	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	O1	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	P1	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	A2	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	B2	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	C2	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	D2	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	E2	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	F2	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	G2	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	H2	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	I2	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	J2	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	K2	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	L2	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	M2	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	N2	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	O2	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	P2	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	A3	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	B3	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	C3	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	D3	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	E3	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	F3	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	G3	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	H3	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	I3	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	J3	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	K3	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	L3	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	M3	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	N3	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	O3	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	P3	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	A4	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	B4	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	C4	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	D4	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	E4	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	F4	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	G4	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	H4	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	I4	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	J4	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	K4	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	L4	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	M4	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	N4	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	O4	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	P4	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	A5	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	B5	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	C5	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	D5	0.0	Mg-glutamate
